coder,response_uuid,child_hashed_id,child__age_rounded,child__gender,frame_id,visualShown,audioPlayed,event0_timestamp,parent_transcription,response_video_file,session_order,trial_num,trial_type,testtrial_type,stimulus_set,stimulus_subject,stimulus_verb,stimulus_object,stimulus_distractor,stimulus_targetutterance,stimulus_condition,informative_entities,uninformative_entities,response_exact_utterance,response_attempted_target,response_included_subject,response_included_verb,response_included_object,response_included_distractor,response_included_informative,response_included_uninformative,include_trial,exclusion_reason,trial_notes
sienna,39560e46-2337-4c8f-849e-861512e926c5,S35WD7,720,f,12-actualTrial-1,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_duck_ball_new.ogg,2024-02-29T22:55:36.628Z,Parent see it?,,Order1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,unintelligible,n,n,n,n,n,n,n,y,,
sienna,39560e46-2337-4c8f-849e-861512e926c5,S35WD7,720,f,17-actualTrial-2,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/agent_bird_baby_juice.ogg,2024-02-29T22:57:06.563Z,Parent Happened,,Order1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,HAPPEN BEAR [points at screen],n,n,n,n,n,n,n,y,,
sienna,39560e46-2337-4c8f-849e-861512e926c5,S35WD7,720,f,22-actualTrial-3,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/patient_dog_apple_banana.ogg,2024-02-29T22:58:20.270Z,Happened?,,Order1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,unintelligible; HAPPEN,n,n,n,n,n,n,n,y,,
sienna,39560e46-2337-4c8f-849e-861512e926c5,S35WD7,720,f,27-actualTrial-4,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_bear_shoes_new.ogg,2024-02-29T22:59:46.831Z,Didn't see it?,,Order1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,[points at screen]; [claps]; [points at screen],n,n,n,n,n,n,n,y,,
sienna,39560e46-2337-4c8f-849e-861512e926c5,S35WD7,720,f,32-actualTrial-5,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/patient_baby_milk_juice.ogg,2024-02-29T23:01:24.754Z,Parent what happened,,Order1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,HAPPEN,n,n,n,n,n,n,n,y,,
sienna,39560e46-2337-4c8f-849e-861512e926c5,S35WD7,720,f,37-actualTrial-6,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/agent_cat_dog_banana.ogg,2024-02-29T23:02:54.915Z,A banana,,Order1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,[glitchy video],n,n,n,n,n,n,n,n,glitchy video,
sienna,3f96301d-82ca-4022-badf-7fe40434f8a3,HAB2DH,510,f,4-train1-1,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/mp3/training_audio.mp3,2024-02-04T20:08:16.471Z,nothing,,Order1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,[points at screen],n,n,NA,NA,NA,n,n,y,,
sienna,3f96301d-82ca-4022-badf-7fe40434f8a3,HAB2DH,510,f,8-train1-2,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/mp3/training_audio.mp3,2024-02-04T20:08:33.096Z,moo,,Order1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,[points at screen],n,n,NA,NA,NA,n,n,y,,
sienna,3f96301d-82ca-4022-badf-7fe40434f8a3,HAB2DH,510,f,12-actualTrial-1,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_duck_ball_new.ogg,2024-02-04T20:08:47.433Z,nothing,,Order1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,[NA],n,n,n,n,n,n,n,y,,
sienna,3f96301d-82ca-4022-badf-7fe40434f8a3,HAB2DH,510,f,17-actualTrial-2,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/agent_bird_baby_juice.ogg,2024-02-04T20:09:49.751Z,nothing,,Order1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,[NA],n,n,n,n,n,n,n,y,,
sienna,3f96301d-82ca-4022-badf-7fe40434f8a3,HAB2DH,510,f,22-actualTrial-3,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/patient_dog_apple_banana.ogg,2024-02-04T20:10:48.509Z,nothing,,Order1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,[NA],n,n,n,n,n,n,n,y,,
sienna,3f96301d-82ca-4022-badf-7fe40434f8a3,HAB2DH,510,f,27-actualTrial-4,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_bear_shoes_new.ogg,2024-02-04T20:11:46.739Z,nothing,,Order1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,[NA],n,n,n,n,n,n,n,y,,
sienna,3f96301d-82ca-4022-badf-7fe40434f8a3,HAB2DH,510,f,32-actualTrial-5,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/patient_baby_milk_juice.ogg,2024-02-04T20:12:50.253Z,nothing,,Order1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,[glitchy video],n,n,n,n,n,n,n,n,glitchy video,
sienna,3f96301d-82ca-4022-badf-7fe40434f8a3,HAB2DH,510,f,37-actualTrial-6,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/agent_cat_dog_banana.ogg,2024-02-04T20:13:46.912Z,nothing,,Order1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,[NA],n,n,n,n,n,n,n,y,,
sienna,554f7d51-ffe6-4dff-8028-46a2fd9f9cb6,QXZXYT,600,f,4-train1-1,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/mp3/training_audio.mp3,2024-02-05T20:49:52.640Z,buhbuh,,Order1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,[points at screen] unintelligible; BABA,n,n,NA,NA,NA,n,n,y,,
sienna,554f7d51-ffe6-4dff-8028-46a2fd9f9cb6,QXZXYT,600,f,8-train1-2,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/mp3/training_audio.mp3,2024-02-05T20:50:38.877Z,dah,,Order1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,unintelligible,n,n,NA,NA,NA,n,n,y,,
sienna,554f7d51-ffe6-4dff-8028-46a2fd9f9cb6,QXZXYT,600,f,12-actualTrial-1,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_duck_ball_new.ogg,2024-02-05T20:51:09.469Z,nothing,,Order1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,YA; [points at screen]; YA,n,n,n,n,n,n,n,y,,
sienna,554f7d51-ffe6-4dff-8028-46a2fd9f9cb6,QXZXYT,600,f,17-actualTrial-2,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/agent_bird_baby_juice.ogg,2024-02-05T20:52:15.670Z,lo,,Order1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,[points at screen]; unintelligible,n,n,n,n,n,n,n,y,,
sienna,554f7d51-ffe6-4dff-8028-46a2fd9f9cb6,QXZXYT,600,f,22-actualTrial-3,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/patient_dog_apple_banana.ogg,2024-02-05T20:53:23.567Z,dodo (dog),,Order1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,BANANA; YA; DOG,n,y,n,n,y,n,y,y,,
sienna,554f7d51-ffe6-4dff-8028-46a2fd9f9cb6,QXZXYT,600,f,27-actualTrial-4,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_bear_shoes_new.ogg,2024-02-05T20:54:47.951Z,nothing,,Order1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,[NA],n,n,n,n,n,n,n,y,,
sienna,554f7d51-ffe6-4dff-8028-46a2fd9f9cb6,QXZXYT,600,f,32-actualTrial-5,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/patient_baby_milk_juice.ogg,2024-02-05T20:55:58.867Z,nothing,,Order1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,YA,n,n,n,n,n,n,n,y,,
sienna,554f7d51-ffe6-4dff-8028-46a2fd9f9cb6,QXZXYT,600,f,37-actualTrial-6,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/agent_cat_dog_banana.ogg,2024-02-05T20:57:02.649Z,dodo (dog),,Order1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,unintelligible,n,n,n,n,n,n,n,y,,
sienna,60ab0710-4685-4d81-9f1b-3a7c170a7d49,27BDKN,690,f,4-train1-1,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/mp3/training_audio.mp3,2024-02-04T00:31:20.965Z,bunny,,Order1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,BUNNY,y,y,NA,NA,NA,y,n,y,,
sienna,60ab0710-4685-4d81-9f1b-3a7c170a7d49,27BDKN,690,f,8-train1-2,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/mp3/training_audio.mp3,2024-02-04T00:31:41.725Z,car,,Order1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,CAR,y,y,NA,NA,NA,y,n,y,,
sienna,60ab0710-4685-4d81-9f1b-3a7c170a7d49,27BDKN,690,f,12-actualTrial-1,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_duck_ball_new.ogg,2024-02-04T00:32:03.266Z,nothing,,Order1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,unintelligible HAPPEN,n,n,n,n,n,n,n,y,,
sienna,60ab0710-4685-4d81-9f1b-3a7c170a7d49,27BDKN,690,f,17-actualTrial-2,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/agent_bird_baby_juice.ogg,2024-02-04T00:33:19.475Z,nothing,,Order1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,WHAT HAPPENED; unintelligible; unintelligible,n,n,n,n,n,n,n,y,,
sienna,60ab0710-4685-4d81-9f1b-3a7c170a7d49,27BDKN,690,f,22-actualTrial-3,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/patient_dog_apple_banana.ogg,2024-02-04T00:34:57.995Z,nothing,,Order1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,WHAT HAPPENED; DADDY,n,n,n,n,n,n,n,y,,
sienna,60ab0710-4685-4d81-9f1b-3a7c170a7d49,27BDKN,690,f,27-actualTrial-4,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_bear_shoes_new.ogg,2024-02-04T00:36:26.008Z,nothing,,Order1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,[NA],n,n,n,n,n,n,n,y,,
sienna,60ab0710-4685-4d81-9f1b-3a7c170a7d49,27BDKN,690,f,32-actualTrial-5,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/patient_baby_milk_juice.ogg,2024-02-04T00:38:03.815Z,nothing,,Order1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,WHAT HAPPENED,n,n,n,n,n,n,n,y,,
sienna,60ab0710-4685-4d81-9f1b-3a7c170a7d49,27BDKN,690,f,37-actualTrial-6,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/agent_cat_dog_banana.ogg,2024-02-04T00:39:36.426Z,nothing,,Order1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,DADDY WHAT HAPPENED,n,n,n,n,n,n,n,y,,
sienna,8b4c9bb8-6ff6-4a3b-a504-69fb04f55955,cV4AP6,690,m,4-train1-1,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/mp3/training_audio.mp3,2024-02-18T15:55:01.083Z,Wow,,Order1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,WOW WOW,n,n,NA,NA,NA,n,n,y,,
sienna,8b4c9bb8-6ff6-4a3b-a504-69fb04f55955,cV4AP6,690,m,8-train1-2,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/mp3/training_audio.mp3,2024-02-18T15:55:44.985Z,nothing,,Order1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,[points at screen] unintelligible,n,n,NA,NA,NA,n,n,y,,
sienna,8b4c9bb8-6ff6-4a3b-a504-69fb04f55955,cV4AP6,690,m,12-actualTrial-1,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_duck_ball_new.ogg,2024-02-18T15:56:24.878Z,nothing,,Order1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,[NA],n,n,n,n,n,n,n,y,,
sienna,8b4c9bb8-6ff6-4a3b-a504-69fb04f55955,cV4AP6,690,m,17-actualTrial-2,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/agent_bird_baby_juice.ogg,2024-02-18T15:57:32.029Z,nothing,,Order1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,[NA],n,n,n,n,n,n,n,y,,
sienna,8b4c9bb8-6ff6-4a3b-a504-69fb04f55955,cV4AP6,690,m,22-actualTrial-3,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/patient_dog_apple_banana.ogg,2024-02-18T15:58:45.405Z,nothing,,Order1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,[NA],n,n,n,n,n,n,n,y,,
sienna,8b4c9bb8-6ff6-4a3b-a504-69fb04f55955,cV4AP6,690,m,27-actualTrial-4,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_bear_shoes_new.ogg,2024-02-18T15:59:57.166Z,nothing,,Order1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,[NA],n,n,n,n,n,n,n,y,,
sienna,8b4c9bb8-6ff6-4a3b-a504-69fb04f55955,cV4AP6,690,m,32-actualTrial-5,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/patient_baby_milk_juice.ogg,2024-02-18T16:01:06.063Z,gagagaga,,Order1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,unintelligible,n,n,n,n,n,n,n,y,,
sienna,8b4c9bb8-6ff6-4a3b-a504-69fb04f55955,cV4AP6,690,m,37-actualTrial-6,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/agent_cat_dog_banana.ogg,2024-02-18T16:02:20.879Z,nothing,,Order1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,[points at screen],n,n,n,n,n,n,n,y,,
sienna,8b8e595f-769f-44bf-b54c-fb5c51087ef0,FZ7UTH,480,f,4-train1-1,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/mp3/training_audio.mp3,2024-02-08T14:01:55.460Z,nothing,,Order1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,[NA],n,n,NA,NA,NA,n,n,y,,
sienna,8b8e595f-769f-44bf-b54c-fb5c51087ef0,FZ7UTH,480,f,8-train1-2,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/mp3/training_audio.mp3,2024-02-08T14:02:26.886Z,nothing,,Order1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,[NA],n,n,NA,NA,NA,n,n,y,,
sienna,8b8e595f-769f-44bf-b54c-fb5c51087ef0,FZ7UTH,480,f,12-actualTrial-1,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_duck_ball_new.ogg,2024-02-08T14:03:21.155Z,nothing,,Order1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,[NA],n,n,n,n,n,n,n,y,,
sienna,8b8e595f-769f-44bf-b54c-fb5c51087ef0,FZ7UTH,480,f,17-actualTrial-2,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/agent_bird_baby_juice.ogg,2024-02-08T14:04:29.321Z,nothing,,Order1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,[NA],n,n,n,n,n,n,n,y,,
sienna,8b8e595f-769f-44bf-b54c-fb5c51087ef0,FZ7UTH,480,f,22-actualTrial-3,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/patient_dog_apple_banana.ogg,2024-02-08T14:05:38.522Z,nothing,,Order1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,[NA],n,n,n,n,n,n,n,y,,
sienna,8b8e595f-769f-44bf-b54c-fb5c51087ef0,FZ7UTH,480,f,27-actualTrial-4,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_bear_shoes_new.ogg,2024-02-08T14:06:46.742Z,nothing,,Order1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,[NA],n,n,n,n,n,n,n,y,,
sienna,8b8e595f-769f-44bf-b54c-fb5c51087ef0,FZ7UTH,480,f,32-actualTrial-5,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/patient_baby_milk_juice.ogg,2024-02-08T14:07:51.924Z,mama for milk,,Order1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,[NA],n,n,n,n,n,n,n,y,,
sienna,8b8e595f-769f-44bf-b54c-fb5c51087ef0,FZ7UTH,480,f,37-actualTrial-6,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/agent_cat_dog_banana.ogg,2024-02-08T14:08:58.566Z,hmm,,Order1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,MAMA,n,n,n,n,n,n,n,y,,
sienna,8e4274ce-c0a2-4b4a-95d6-012952a8c379,PSJP5B,480,f,4-train1-1,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/mp3/training_audio.mp3,2024-02-16T21:16:27.037Z,doggy,,Order1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,unintelligible,n,n,NA,NA,NA,n,n,y,,
sienna,8e4274ce-c0a2-4b4a-95d6-012952a8c379,PSJP5B,480,f,8-train1-2,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/mp3/training_audio.mp3,2024-02-16T21:17:08.487Z,nothing,,Order1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,[NA],n,n,NA,NA,NA,n,n,y,,
sienna,8e4274ce-c0a2-4b4a-95d6-012952a8c379,PSJP5B,480,f,12-actualTrial-1,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_duck_ball_new.ogg,2024-02-16T21:17:39.609Z,nothing,,Order1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,[NA],n,n,n,n,n,n,n,y,,
sienna,8e4274ce-c0a2-4b4a-95d6-012952a8c379,PSJP5B,480,f,17-actualTrial-2,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/agent_bird_baby_juice.ogg,2024-02-16T21:18:42.426Z,nothing,,Order1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,[NA],n,n,n,n,n,n,n,y,,
sienna,8e4274ce-c0a2-4b4a-95d6-012952a8c379,PSJP5B,480,f,22-actualTrial-3,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/patient_dog_apple_banana.ogg,2024-02-16T21:19:53.990Z,nothing,,Order1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,unintelligible,n,n,n,n,n,n,n,y,,
